Listener,NativeListener,ListenerVariety,ListenerRhotic,Trial,Stimulus,RJudgment,Confidence,Word,FollSegment,Rpresent,ProbPresent,F3min_norm,diffF3F1_55,F3min_orig
K,FALSE,L2English,TRUE,1,burnt59,Present,5,burnt,N,Present,0.5915306878306879,-656.1954887218044,1422,1732
K,FALSE,L2English,TRUE,2,burnt3611,Present,3,burnt,N,Absent,0.401657671957672,645.3511450381679,2456,2767
K,FALSE,L2English,TRUE,3,churned3729,Present,3,churned,N,Absent,0.33636666666666665,-458.64885496183206,2713,1663
K,FALSE,L2English,TRUE,4,curl14566,Present,4,curl,L,Present,0.8550375661375662,-161.87254901960773,1493,1867
K,FALSE,L2English,TRUE,5,curl15255,Absent,4,curl,L,Absent,0.46818518518518537,-291.875,1852,2082
K,FALSE,L2English,TRUE,6,firm1794,Present,5,firm,M,Present,0.85174550264550275,83.44444444444434,1606,1910
K,FALSE,L2English,TRUE,7,firm36165,Present,5,firm,M,Absent,0.5455661375661377,-20.478787878787898,1743,2054
K,FALSE,L2English,TRUE,8,firms38493,Present,5,firms,M,Present,0.7578873015873016,-544.0101010101009,1416,1494
K,FALSE,L2English,TRUE,9,girl15366,Present,5,girl,L,Absent,0.5079804232804234,-418.875,2118,1955
K,FALSE,L2English,TRUE,10,girls2107,Present,5,girls,L,Absent,0.4897285714285715,-308.7532467532469,2349,2016
K,FALSE,L2English,TRUE,11,girls3375,Present,5,girls,L,Present,0.6252830687830687,-335.64885496183206,2445,1786
K,FALSE,L2English,TRUE,12,girls3958,Present,5,girls,L,Absent,0.12439470899470903,530.3511450381679,2373,2652
K,FALSE,L2English,TRUE,13,girls7121,Present,5,girls,L,Absent,0.41994285714285723,52.74736842105267,1848,2241
K,FALSE,L2English,TRUE,14,girls7728,Present,5,girls,L,Absent,0.4384116402116402,196.45205479452034,1962,2313
K,FALSE,L2English,TRUE,15,girls8781,Present,5,girls,L,Present,0.973900529100529,-302.75925925925935,1422,1680
K,FALSE,L2English,TRUE,16,girls9249,Present,5,girls,L,Present,0.9200253968253971,-75.04516129032254,1322,1697
K,FALSE,L2English,TRUE,17,girls9264,Present,5,girls,L,Present,0.6832010582010583,-161.04516129032254,1239,1611
K,FALSE,L2English,TRUE,18,girls10819,Present,5,girls,L,Present,0.9833925925925926,-191.313432835821,1420,1743
K,FALSE,L2English,TRUE,19,girls30950,Present,5,girls,L,Absent,0.4817936507936506,-899.3233333333333,2651,1370
K,FALSE,L2English,TRUE,20,girls30958,Present,5,girls,L,Present,0.6091100529100528,-560.3233333333333,2143,1709
K,FALSE,L2English,TRUE,21,girls36724,Present,5,girls,L,Present,0.8399201058201056,-193.4787878787879,1438,1881
K,FALSE,L2English,TRUE,22,girls37260,Present,5,girls,L,Present,0.7431904761904758,-126.58015267175551,1751,2136
K,FALSE,L2English,TRUE,23,hern42719,Present,4,hern,N,Present,0.7646370370370371,-62.244444444444525,1717,1914
K,FALSE,L2English,TRUE,24,learn2352,Present,5,learn,N,Absent,0.5592333333333334,-132.7532467532469,1864,2192
K,FALSE,L2English,TRUE,25,learn3830,Present,3,learn,N,Absent,0.5254539682539682,-510.64885496183206,1554,1611
K,FALSE,L2English,TRUE,26,learn3842,Present,2,learn,N,Absent,0.1759079365079365,997.3511450381679,2819,3119
K,FALSE,L2English,TRUE,27,learn5168,Present,2,learn,N,Present,0.7641492063492066,188.60439560439568,1806,2160
K,FALSE,L2English,TRUE,28,learn6557,Present,1,learn,N,Absent,0.4321058201058203,-231.9076923076923,2262,1990
K,FALSE,L2English,TRUE,29,learn14552,Present,5,learn,N,Absent,0.4511772486772487,403.12745098039227,2237,2432
K,FALSE,L2English,TRUE,30,learn15242,Present,5,learn,N,Present,0.6602862433862432,-343.875,1822,2030
K,FALSE,L2English,TRUE,31,learn30708,Present,5,learn,N,Present,0.728246031746032,-441.32333333333327,2113,1828
K,FALSE,L2English,TRUE,32,learns37623,Present,5,learns,N,Present,0.5951502645502643,-36.58015267175551,1902,2226
K,FALSE,L2English,TRUE,33,learnt3954,Present,2,learnt,N,Absent,0.19346031746031744,580.3511450381679,2667,2702
K,FALSE,L2English,TRUE,34,learnt4913,Present,3,learnt,N,Present,0.6183835978835978,-273.3956043956043,2166,1698
